OBJECTID;COD_EMPRES;COD_FUNDO;NOM_FUNDO;COD_EMP_PR;COD_EMP__1;COD_FUN_OP;COD_SUBGER;DSC_SUBGER;COD_Z_ADM_;DSC_Z_ADM_;NOM_Z_ADM_;COD_S_ADM_;DSC_S_ADM_;NOM_S_ADM_;COD_Z_PROD;DSC_Z_PROD;NOM_Z_PROD;COD_TIPO_P;DSC_TIPO_P;COD_REGION;NOM_REGION;COD_PROVIN;NOM_PROVIN;COD_COMUNA;NOM_COMUNA;N_ID_COMPL;DSC_COMPLE;N_ID_RESTR;C_DSC_REST;N_ID_BARRI;C_NOM_BARR;C_SIMBOLOG;F_LATITUD;F_LONGITUD;SUP_ACTUAL;FECHA_CART;ID_FUNDO;SHAPE_Leng;SHAPE_Area;Area;Barrio;NCR;COD_NCR;JefeSector
85;90;1203;EL CUADRO;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;447;MULCHEN;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.74498300000;-72.04617700000;130.73000000000;;589;7182.78059618000;1306216.38240000000;Mulchen;Baquecha;Bajo;4;EMANUEL BOBADILLA
97;90;1216;PARCELA 64 QUILAPALOS LOTE A;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.74419100000;-71.91257800000;45.44000000000;;602;2829.41695678000;454749.91554900000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
183;90;1252;PARCELA 128 QUILAPALOS LOTE B;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.82392900000;-71.92628600000;76.40000000000;;636;7895.43560580000;766218.45259900000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
187;90;1256;CARTAGENA HIJUELAS 1-2-3-4;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.87206400000;-71.68114600000;558.62000000000;;640;22290.16265070000;5585206.88970000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
193;90;1263;RESERVA CASAS DE PILE;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;447;MULCHEN;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.70798600000;-72.09784400000;34.81000000000;;647;3986.17701984000;347701.84450000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
199;90;1270;PARCELAS 4-6-8 SAN PEDRO;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;447;MULCHEN;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.75819600000;-71.98210900000;140.85000000000;;654;8088.14749876000;1407903.14790000000;Mulchen;Baquecha;Bajo;4;EMANUEL BOBADILLA
202;90;1273;PARCELA 40 TIERRAS PARA CHILE;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.70156400000;-72.08764600000;87.65000000000;;657;4901.90104209000;877376.03955000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
279;90;1303;HIJUELAS LIRQUEN LOTES 1 Y  2;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.76079200000;-71.85735300000;22.56000000000;;686;1969.44960836000;225391.54140000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
303;90;1329;PARCELA 128 QUILAPALOS LOTES B1Y B4;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;4;SANTA ADRIANA;MONTOYA MENDOZA CRISTIAN;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.82506300000;-71.92348500000;84.00000000000;;712;7028.79614364000;836681.91470100000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
308;90;1334;LIRQUEN ORIENTE Y PONIENTE;90;90;0;1;NORTE;16;SANTA BARBARA;JOSE LUIS BOUNIOT OPAZO;5;QUILACO;CALDERON CAMPODONICO LEONIDAS ANTONIO;3;MULCHEN;CLAUDIO ZAPATA GUZMAN;3;SUELO y VUELO;8;BIOBIO;2;BIOBIO;446;QUILACO;3;BAJO;1;SIN CONDICIONES;3;SANTA BARBARA-QUILACO;#70AD47;-37.73172500000;-71.90454100000;514.02000000000;;717;11478.18541830000;5141958.87030000000;Mulchen;Baquecha;Bajo;4;ARTURO LONCON
